,index,GMAT,GPA,Stanford,Columbia,Kellogg,Booth,Yale,NYU,Tuck,Cornell,Berkeley,Wharton,UCLA,Duke,INSEAD,Harvard,Michigan,Sloan,STEM_MAJOR,UNDER_REP,IVY_MIT_STANFORD_UNDERGRAD,FEMALE
226,111,720.0,3.5,,37.5,,,,32.5,,,,25.0,,,,,,,0.0,0.0,0.0,
227,112,730.0,3.8,30.0,,,,,,,,,50.0,,,,45.0,,,1.0,0.0,0.0,
228,113,720.0,3.2,25.0,35.0,,,35.0,,32.5,,50.0,37.5,,,,35.0,,,0.0,0.0,1.0,0.0
229,114,770.0,3.93,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
230,115,730.0,2.7,,,20.0,20.0,20.0,,20.0,,,10.0,,,,,,10.0,1.0,0.0,1.0,0.0
231,116,710.0,3.5,10.0,30.0,20.0,,20.0,,,,,,,,,,,,0.0,0.0,0.0,
232,117,710.0,3.26,,10.0,,,20.0,,15.0,,,10.0,,,,,,10.0,0.0,0.0,0.0,
233,118,730.0,3.76,10.0,35.0,35.0,40.0,,,30.0,,,35.0,,,,20.0,,30.0,0.0,0.0,0.0,0.0
234,119,740.0,3.1,,,32.5,32.5,,40.0,,,25.0,15.0,,35.0,,,,,0.0,0.0,0.0,1.0
235,120,700.0,3.48,10.0,20.0,40.0,40.0,30.0,40.0,25.0,,,,,,,17.5,,,0.0,0.0,0.0,0.0
